generacja,najlepszy_fitness,sredni_fitness,liczba_gatunkow,czas_epoki_s,avg_fitness_informed,avg_fitness_uninformed,neat_avg_worth,bench_hold6040,bench_momentum,bench_random,pct_bond,pct_stock,pct_crypto,pct_cash,avg_trades
1620,700.96,466.62,2,2.17,485.24,447.99,3908.49,370.41,915.35,438.49,5.14,69.29,20.65,4.92,134.35
1621,793.67,451.07,2,2.20,506.77,395.37,4325.87,352.73,215.25,505.59,5.35,73.65,17.65,3.35,122.52
1622,718.71,544.54,2,2.18,475.05,614.03,7214.06,292.55,870.68,387.71,5.25,72.20,19.41,3.14,207.23
1623,575.97,422.63,2,2.12,431.70,413.57,2628.30,341.15,249.76,354.95,5.70,68.13,20.72,5.46,110.54
1624,563.65,449.00,2,2.25,422.63,475.38,3169.44,410.97,274.42,560.44,5.66,62.68,27.17,4.49,113.05
1625,621.26,443.63,2,2.17,436.41,450.85,3226.13,385.00,2207.93,419.51,5.02,64.92,26.11,3.96,103.10
1626,677.60,467.09,2,2.28,449.26,484.91,3933.02,360.52,205.52,414.09,5.50,62.31,28.80,3.39,122.04
1627,697.24,468.98,2,2.15,436.14,501.81,4345.02,309.08,217.26,372.33,5.67,53.92,35.42,4.99,122.94
1628,612.22,474.56,2,2.24,503.73,445.40,3897.28,385.14,1122.10,510.30,5.29,58.86,31.59,4.25,125.08
1629,596.97,431.58,2,2.20,401.27,461.88,2923.66,363.44,257.24,431.04,5.13,58.31,32.06,4.50,93.32
1630,670.64,489.77,2,2.16,440.29,539.25,4747.68,394.07,693.80,397.99,5.38,63.06,27.12,4.43,147.91
1631,783.17,499.10,2,2.17,471.09,527.11,5491.71,408.44,247.17,443.70,5.78,61.39,28.49,4.34,151.25
1632,631.25,417.49,2,2.14,460.33,374.64,2847.34,382.65,1026.87,442.38,5.96,64.11,24.38,5.55,108.56
1633,694.04,482.73,2,2.07,434.18,531.28,4505.31,315.63,221.01,450.18,5.86,69.43,19.36,5.35,133.55
1634,651.30,491.29,2,2.15,461.93,520.65,4584.63,383.50,201.60,499.14,6.01,67.91,21.08,5.00,142.14
1635,639.13,445.16,2,2.21,492.69,397.63,3565.71,412.14,1548.93,487.21,5.01,65.68,25.09,4.21,117.10
1636,717.39,521.69,2,2.18,567.03,476.34,5818.49,320.23,206.98,381.66,6.08,66.45,23.45,4.02,176.74
1637,699.86,512.95,2,2.54,502.91,522.99,5655.30,382.76,992.65,514.65,6.45,65.24,23.75,4.55,172.97
